,_id,TransactionID,CustomerID,ProductID,Quantity,Price,Discount,CustomerLocation,CustomerAge,CustomerIncomeGroup,CustomerLoyaltyScore,ProductCategory_Beauty,ProductCategory_Books,ProductCategory_Clothing,ProductCategory_Electronics,ProductCategory_Home & Kitchen,ProductCategory_Sports,ProductCategory_Toys,PaymentMethod_Bank Transfer,PaymentMethod_Cash on Delivery,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_PayPal,CustomerGender_Female,CustomerGender_Male,CustomerGender_Other,Year,Month,Day,Weekday,Hour
0,68f24604b498e3d7cc23dbf6,9,6578,948,4,-1.0392109064141137,0.12,Port Philipberg,-0.424538909318894,0,-0.7405941691211153,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2024,8,4,6,17
1,68f24604b498e3d7cc23dbfe,17,7420,868,4,-0.9834960404284148,0.19,Marioburgh,-1.4890114073407896,1,-1.3872285391628585,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2024,7,24,2,8
2,68f24604b498e3d7cc23dc22,53,4073,116,2,0.5813196151025055,0.17,Morganmouth,-0.4910684404452625,0,0.40174706275134336,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2023,10,11,2,11
3,68f24604b498e3d7cc23dc25,56,8989,603,2,1.5955597129432895,0.26,Adrienneberg,1.5048174933457918,0,-0.5017410024568739,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2024,9,1,6,20
4,68f24604b498e3d7cc23dc31,68,8916,368,1,1.7336644150838703,0.12,East Courtneyview,1.5048174933457918,0,-0.39443015946279447,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2024,1,27,5,21
5,68f24604b498e3d7cc23dc38,75,9684,148,3,-0.30291912877164767,0.25,Hernandezside,-0.6241275026979994,2,-1.2009923019666817,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2024,8,25,6,18
6,68f24604b498e3d7cc23dc3f,82,6463,599,3,1.3356961182834006,0.05,Joshuafurt,0.9060517132084756,1,1.7216704315785203,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2023,9,24,6,18
7,68f24604b498e3d7cc23dc54,103,4840,723,2,-1.697390581057903,0.12,Summersstad,-1.6886000007198951,2,1.0044186035664797,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2024,6,9,6,8
8,68f24604b498e3d7cc23dc67,122,7019,802,3,0.24118766170666625,0.01,Mathewsshire,0.972581244334844,1,-1.57658025244596,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2024,3,13,2,8
9,68f24604b498e3d7cc23dc68,123,2757,750,3,-0.6976182636478626,0.19,New Kaitlyn,-1.6886000007198951,2,1.3620060255435251,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2024,7,4,3,22
10,68f24604b498e3d7cc23dc69,124,8574,770,1,-1.7264304768744192,0.1,Lake Gregory,-1.4224818762144211,2,1.6576300897917313,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2023,12,28,3,17
11,68f24604b498e3d7cc23dc92,165,5737,722,4,-1.660908125115957,0.29,Stoutland,-1.2894228139616841,2,-0.701477636029725,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2024,7,31,2,11
12,68f24604b498e3d7cc23dca0,179,5218,242,1,-1.4746354520701372,0.1,New Gina,1.1721698377139496,0,-0.5463961597027973,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2024,2,4,6,22
13,68f24604b498e3d7cc23dcac,191,5282,352,4,-0.9820353510580031,0.28,Campbellton,-1.2894228139616841,1,1.3983532465576491,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2023,10,21,5,9
14,68f24604b498e3d7cc23dcce,225,3255,695,1,-1.2894409068929544,0.12,Katieberg,0.04116780856568535,2,-0.038227393524382404,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2024,7,21,6,19
15,68f24604b498e3d7cc23dce2,245,7944,697,2,0.8297759213458465,0.26,Aprilborough,-0.22495031593978856,0,0.7188332955983651,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2024,4,29,0,8
16,68f24604b498e3d7cc23dce4,247,5911,535,2,0.9894779591775129,0.13,Lake Madisontown,0.24075640194479078,1,1.3073121120175104,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2024,3,27,2,6
17,68f24604b498e3d7cc23dcf7,266,6600,124,2,-0.6531715728053388,0.23,New Josephtown,0.37381546419752776,2,-1.159106456798025,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2024,4,20,5,17
18,68f24604b498e3d7cc23dd05,280,1606,119,3,0.5529405073345093,0.24,East Nicole,1.4382879622194233,0,-1.2837255002750205,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2023,12,19,1,9
19,68f24604b498e3d7cc23dd3c,335,2148,639,1,-1.186949202735742,0.28,Michaelburgh,-0.6241275026979994,2,0.6942556509126245,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2024,1,18,3,10
20,68f24604b498e3d7cc23dd43,342,4124,508,3,-1.6244952258106966,0.05,Johnmouth,-1.5555409384671581,0,0.45747946830633296,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2023,10,29,6,20
21,68f24604b498e3d7cc23dd53,358,2693,254,1,-0.5022684495144852,0.27,Port Latoya,0.7064631198293702,0,-1.4907315780506964,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2023,12,31,6,5
22,68f24604b498e3d7cc23dd54,359,5752,963,4,-0.9552908242521342,0.13,Reedhaven,-0.0918912536870516,1,-1.2093002381984816,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2023,12,31,6,6
23,68f24604b498e3d7cc23dd56,361,1830,313,1,-0.5953004510823656,0.26,West Leslie,-0.7571865649507364,1,0.913723633036,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2024,7,6,5,11
24,68f24604b498e3d7cc23dd5f,370,2664,677,3,-0.5655997672173303,0.24,Barronberg,1.238699368840318,1,0.9929951912477551,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2024,3,4,0,21
25,68f24604b498e3d7cc23dd62,373,8805,505,4,-0.8094305571210347,0.27,Stephenschester,-0.8237160960771048,2,-0.7395556770921402,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2024,4,5,4,9
26,68f24604b498e3d7cc23dd69,380,1580,775,2,0.5527666157427933,0.16,Rogermouth,-0.424538909318894,0,0.7274873958398231,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2024,3,31,6,3
27,68f24604b498e3d7cc23dd75,392,3479,147,3,-0.5617393738812425,0.21,North Ariel,-0.8902456272034733,2,0.5433281427015967,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2023,12,6,2,6
28,68f24604b498e3d7cc23dd7b,398,3849,983,3,-1.4119649224158117,0.16,West Melissaberg,-0.1584207848134201,0,1.5264339301312275,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2023,11,4,5,19
29,68f24604b498e3d7cc23dd8a,413,3738,675,4,0.808074250699732,0.14,New Jamie,-1.2228932828353158,2,-1.686660407517306,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2024,1,11,3,0
30,68f24604b498e3d7cc23ddaf,450,6073,375,2,-0.5025466760612303,0.24,North Stephanieborough,0.24075640194479078,0,-1.2567247075216716,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2024,6,1,5,13
